id,slug,name,message,created_at,status
4f802750-d9fe-4baf-8488-16192fa8766c,amoremcristo,"Ana Clara","no AmorEmCristo enfrentei bug (PIX recusado sem motivo). tentei resolver e continua travando. O central de ajuda levou dias. Ficou aquém do que imaginei.",2025-05-21T03:21:16.000Z,approved
0d2f8bcc-f4a4-4da2-aada-d2bf810825ae,tall-people-meet,"ana.410","Uso o Tall People Meet e notei problema — captcha infinito no formulário. Refiz o processo ajustar  mas falhou de novo. Depois disso  o equipe de suporte não retornou. Nada resolvido. Limpei cache e repeti o processo.",2024-09-07T18:30:16.000Z,approved
38f72742-530b-4e56-9376-8be324d43794,surge,"ana.4173","Relato direto: no Surge enfrentei instabilidade (falha ao processar pagamento). refiz o processo resolver e continua travando. O central de ajuda demorou a responder. Ficou aquém do que imaginei. Testei em outra rede móvel.",2025-04-30T18:20:00.999Z,approved
336ae9da-2289-4eca-a75b-5897590eb4c3,meu-rubi,"ana.64","Falando objetivamente: negaram reembolsar mesmo dentro do período em Meu Rubi causou instabilidade. Tentei passos diferentes e falhou de novo. Time de atendimento levou dias. Decepcionante.",2025-02-24T17:10:40.000Z,approved
a29af499-ae1a-45b0-8335-5832fb10733d,inner-circle,"ana.9333","Uso o Inner Circle e notei bug — PIX recusado sem motivo. Busquei ajustar  mas não resolveu. Como agravante  o central de ajuda respondeu tarde. Ficou aquém do que imaginei. Reinstalei o aplicativo.",2025-03-12T08:53:49.000Z,approved
a51a6298-d915-4e7f-8e89-0f571ec53992,inner-circle,"ana.9678","Inner Circle: perfis com comportamento repetido gerou inconsistência. Insisti consertar  porém voltou a acontecer. Equipe de suporte levou dias. Esperava mais. Atualizei o app e nada mudou.",2024-10-14T00:07:39.999Z,approved
f1c8402f-d8e8-4c65-b1e5-5d0c32b2bd1a,gamer-dating,"ana_13","Relato direto: perfis com comportamento repetido em Gamer Dating causou problema. Tentei passos diferentes e não resolveu. Suporte levou dias. Nada resolvido.",2025-01-13T16:22:26.000Z,approved
1a74e06a-abdb-4819-bee7-709e851b415d,hornet,"ana_19","Hornet: mensagens que param sem sentido gerou pane. Repeti os passos consertar  porém não deu certo. Help desk levou dias. Decepcionante. Atualizei o app e nada mudou.",2025-01-06T19:25:07.000Z,approved
5cb38306-c082-4a02-8f77-120d4312d092,military-cupid,"ana_20","Falando objetivamente: no Military Cupid enfrentei problema (perfis com comportamento repetido). repeti os passos resolver e não resolveu. O help desk não retornou. Ficou aquém do que imaginei. Testei em outra rede móvel.",2025-04-17T08:46:13.999Z,approved
053f81c5-1169-4365-8399-ce16106683e8,eharmony,"ana_2703","Uso o eHarmony e notei inconsistência — fotos aprovadas e depois removidas. Refiz o processo ajustar  mas continua travando. Para piorar  o central de ajuda respondeu tarde. Nada resolvido. Tentei pelo navegador também.",2024-09-29T01:31:48.999Z,approved
83686026-98a4-40c6-8054-57eaa7831f66,meupatrocnio,"ana_544","No MeuPatrocínio  tive inconsistência com falha ao abrir a câmera do celular repeti os passos várias vezes e sem sucesso. Como agravante  meu perfil ficou limitado. Ficou aquém do que imaginei. Testei em outra rede móvel.",2024-10-13T17:32:26.000Z,approved
6732be82-104f-448c-a49b-28b04a45d808,singleparentmeet,"ana282","Sinceramente: fotos aprovadas e depois removidas em SingleParentMeet causou instabilidade. Tentei passos diferentes e continua travando. Central de ajuda foi lento. Experiência abaixo do esperado. Limpei cache e repeti o processo.",2025-05-09T14:46:31.000Z,approved
5b585be3-bcdf-4276-bdb1-5c39fe81bb4c,scruff,"ana375","Sinceramente: erro de formato mesmo com JPG/PNG em Scruff causou falha. Tentei passos diferentes e falhou de novo. Suporte respondeu tarde. Experiência abaixo do esperado. Tentei pelo navegador também.",2025-07-27T10:18:03.000Z,approved
4307217e-7cb0-4024-9c74-d14721aabec4,gamer-dating,"ana815","Gamer Dating: estorno prometido não realizado gerou erro. Insisti consertar  porém continua travando. Equipe de suporte levou dias. Nada resolvido. Testei em outra rede móvel.",2025-07-17T18:09:12.000Z,approved
